市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考,,,,,,,,,,,
132241,0000000059,東京都,多摩市,多摩市立豊ヶ丘地区市民ホール,タマシリツトヨガオカチクシミンホール,Tama　Municipal　Toyogaoka　district　Town　Hall,東京都多摩市豊ヶ丘5-6,,,35.614464,139.434396,10,6,2,2,8,6,2,,,,2,有,,有,09:00,17:00,,,,,,,,,,,,,,,
132241,0000000060,東京都,多摩市,多摩市立桜ヶ丘コミュニティセンター,タマシリツサクラガオカコミュニティセンター,Tama　Municipal　Sakuragaoka　district　Town　Hall,東京都多摩市桜ヶ丘1-17-7,,,35.639934,139.446501,10,6,1,3,5,2,3,,,,1,有,,有,09:30,21:30,,,,,,,,,,,,,,,
132241,0000000061,東京都,多摩市,多摩市立乞田・貝取コミュニティセンター,タマシリツコッタ・カイドリコミュニティセンター,Tama　Municipal　kotta・kaidori　district　Town　Hall,東京都多摩市乞田810,,,35.630910,139.434555,12,6,3,3,6,3,3,,,,2,有,,有,09:30,21:30,,,,,,,,,,,,,,,
132241,0000000062,東京都,多摩市,多摩市立鶴牧・落合・南野コミュニティセンター,タマシリツツルマキ・オチアイ・ミナミノコミュニティセンター,Tama　Municipal　Tsurumaki・Ochiai・Minamino　district　Town　Hall,東京都多摩市落合6-5,,,35.612293,139.425705,14,10,2,2,10,3,7,,,,3,有,,有,09:30,21:30,,,,,,,,,,,,,,,
132241,0000000063,東京都,多摩市,多摩市立貝取コミュニティセンター,タマシリツカイドリコミュニティセンター,Tama　Municipal　Kaidori　district　Town　Hall,東京都多摩市貝取4-5-1,,,35.615857,139.439809,8,5,1,2,8,3,5,,,,2,有,,有,09:30,21:30,,,,,,,,,,,,,,,
132241,0000000064,東京都,多摩市,多摩市立聖ヶ丘コミュニティセンター,タマシリツヒジリガオカコミュニティセンター,Tama　Municipal　Hizirigaoka　district　Town　Hall,東京都多摩市聖ヶ丘2-21-1,,,35.631149,139.458213,15,10,1,4,10,3,7,,,,3,有,,有,09:30,21:30,,,,,,,,,,,,,,,
132241,0000000065,東京都,多摩市,多摩市立愛宕コミュニティセンター,タマシリツアタゴコミュニティセンター,Tama　Municipal　Atago　district　Town　Hall,東京都多摩市愛宕3-2,,,35.633545,139.434483,10,6,2,2,6,2,4,,,,2,有,,有,09:30,21:30,,,,,,,,,,,,,,,
132241,0000000066,東京都,多摩市,多摩市立唐木田コミュニティセンター,タマシリツカラキダコミュニティセンター,Tama　Municipal　Karakida　district　Town　Hall,東京都多摩市鶴牧6-14,,,35.615611,139.413448,15,9,6,10,,10,,,,,3,有,,有,09:30,21:30,,,,,,,,,,,,,,,
132241,0000000067,東京都,多摩市,三方の森コミュニティ会館,ミカタノモリコミュニティエカン,Tama　Municipal　Mikatanomori　community　hall,東京都多摩市和田1254-12,,,35.646177,139.416064,5,3,,2,3,,3,,,,1,有,,有,09:00,21:30,,,,,,,,,,,,,,,
132241,0000000068,東京都,多摩市,多摩市立和田・東寺方コミュニティセンター,タマシリツワダ・ヒガシテラカタコミュニティセンター,Tama　Municipal　Wada・Higashiterakata　Community　Center,東京都多摩市和田2006-4,,,35.641020,139.427437,10,6,1,3,6,1,5,,,,2,有,,有,09:30,21:30,,,,,,,,,,,,,,,
